GenCF1\window-scan.pl SAS CY 1330/ms, sent 69/s, c_len 13, swa_steps 8, sent 63, ignored 95, time_res 1s, time 0.91s, cor_ack0, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCF1\swa.pl SWA CY 174/ms, sent 66/s, c_len 13, swa_steps 8, sent 63, ignored 18, time_res 1s, time 0.95s, cor_ack0, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCF1\swa-high.pl SWA CY 151/ms, sent 34/s, c_len 13, swa_steps 8, sent 63, ignored 0, time_res 1s, time 1.84s, cor_ack0, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\known-cf-maj.pl SAS CY 1806/ms, sent 549/s, c_len 8, swa_steps 100, sent 39, ignored 0, analy 17/17, cor 22, cor_full 22, cor_rp0 22, ~swa 9, ~rp 0, ~dp 5.00, time_res 1s, midi\known-cf-maj.mid #16, time 0.07s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\good-cf-maj.pl SAS CY 1432/ms, sent 886/s, c_len 13, swa_steps 100, sent 39, ignored 0, analy 29/29, cor 10, cor_full 10, cor_rp0 10, ~swa 10, ~rp 0, ~dp 5.00, time_res 1s, midi\good-cf-maj.mid #28, time 0.0440s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\known-cf-min.pl SAS CY 3483/ms, sent 263/s, c_len 9, swa_steps 100, sent 31, ignored 0, analy 13/13, cor 18, cor_full 18, cor_rp0 18, ~swa 9, ~rp 0, ~dp 9, time_res 1s, midi\known-cf-min.mid #12, time 0.12s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\good-cf-min.pl SAS CY 3173/ms, sent 422/s, c_len 13, swa_steps 100, sent 38, ignored 0, analy 20/20, cor 18, cor_full 18, cor_rp0 18, ~swa 12, ~rp 0, ~dp 5.00, time_res 1s, midi\good-cf-min.mid #19, time 0.09s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\test-leaps.pl SAS CY 799/ms, sent 31/s, c_len 13, swa_steps 100, sent 126, ignored 0, analy 117/117, cor 9, cor_full 2, cor_rp0 5, ~swa 1.00, ~rp 34, ~dp 15, time_res 1s, midi\GenCA1\test-leaps.mid #116, time 4.10s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\test-manyleaps.pl SAS CY 2805/ms, sent 253/s, c_len 13, swa_steps 100, sent 23, ignored 0, analy 11/11, cor 12, cor_full 12, cor_rp0 12, ~swa 8, ~rp 0, ~dp 11, time_res 1s, midi\GenCA1\test-manyleaps.mid #10, time 0.09s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\test-culm.pl SAS CY 2178/ms, sent 532/s, c_len 15, swa_steps 100, sent 25, ignored 0, analy 9/9, cor 16, cor_full 16, cor_rp0 16, ~swa 8, ~rp 0, ~dp 12, time_res 1s, midi\GenCA1\test-culm.mid #8, time 0.0470s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\test-repeat.pl SAS CY 407/ms, sent 27/s, c_len 17, swa_steps 100, sent 42, ignored 0, analy 15/15, cor 27, cor_full 14, cor_rp0 19, ~swa 2.00, ~rp 15, ~dp 9, time_res 1s, midi\GenCA1\test-repeat.mid #14, time 1.57s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\test-leap-size.pl SAS CY 3900/ms, sent 4.64/s, c_len 9, swa_steps 100, sent 5, ignored 0, analy 2/2, cor 3, cor_full 1, cor_rp0 2, ~swa 3.00, ~rp 132, ~dp 48, time_res 1s, midi\GenCA1\test-leap-size.mid #1, time 1.08s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\test-leap-fill.pl SAS CY 1727/ms, sent 29/s, c_len 11, swa_steps 100, sent 108, ignored 0, analy 43/43, cor 65, cor_full 38, cor_rp0 53, ~swa 3.00, ~rp 21, ~dp 11, time_res 1s, midi\GenCA1\test-leap-fill.mid #42, time 3.77s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\test-fill.pl SAS CY 2587/ms, sent 132/s, c_len 12, swa_steps 100, sent 42, ignored 0, analy 14/14, cor 28, cor_full 28, cor_rp0 28, ~swa 10, ~rp 0, ~dp 10, time_res 1s, midi\GenCA1\test-fill.mid #13, time 0.32s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\test-tritone.pl SAS CY 3231/ms, sent 121/s, c_len 11, swa_steps 100, sent 102, ignored 0, analy 38/38, cor 64, cor_full 64, cor_rp0 64, ~swa 10, ~rp 0, ~dp 14, time_res 1s, midi\GenCA1\test-tritone.mid #37, time 0.84s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA1\test-minor-alter.pl SAS CY 57/ms, sent 6/s, c_len 9, swa_steps 100, sent 27, ignored 0, analy 21/21, cor 6, cor_full 6, cor_rp0 6, ~swa 11, ~rp 0, ~dp 11, time_res 1s, midi\GenCA1\test-minor-alter.mid #20, time 4.32s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x64 
GenCA2\1.pl SAS CY 191/ms, sent 1.49/s, c_len 11, swa_steps 100, sent 6, ignored 0, analy 2/2, cor 2, cor_full 0, cor_rp0 0, ~swa 7, ~rp 61, ~dp 61, time_res 1s, server\share\one\1.mid #1, time 4.01s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x86 
GenCA2\1.pl SAS CY 120/ms, sent 1.15/s, c_len 38, swa_steps 100, sent 2, ignored 0, analy 1/2, cor 1, cor_full 0, cor_rp0 0, ~swa 8, ~rp 92, ~dp 0, time_res 1s, time 1.73s, cor_ack1, fstat0, fblock0, fcor0, ssf0 DCF Release x86 
